session_id,worker_id,model,prompt,prompt_dataset,letter_accuracy,clue_accuracy
61_657acabbc3d6aedeba544da278117752_text-davinci,657acabbc3d6aedeba544da278117752,InstructDavinci,61,NYT-1,0.3783783783783784,0.23076923076923078
173_4f253ee03ca7132e6d47cc1ebd671ce8_ai2-jumbo,4f253ee03ca7132e6d47cc1ebd671ce8,Jumbo,173,NYT-2,0.24324324324324326,0.19230769230769232
61_8cd5c241d19bd39c83557e684c5c0ce4_text-babbage,8cd5c241d19bd39c83557e684c5c0ce4,InstructBabbage,61,NYT-1,0.2972972972972973,0.1794871794871795
61_a9c7faeb33dba785fed1c36cb0cb900b_text-davinci,a9c7faeb33dba785fed1c36cb0cb900b,InstructDavinci,61,NYT-1,0.3891891891891892,0.3076923076923077
61_856818cc4b4e6e71b3dd2f4231e4faa6_text-babbage,856818cc4b4e6e71b3dd2f4231e4faa6,InstructBabbage,61,NYT-1,0.06486486486486487,0.02564102564102564
61_b3d7cef6025c405a32e821b15d0da84c_ai2-jumbo,b3d7cef6025c405a32e821b15d0da84c,Jumbo,61,NYT-1,0.9891891891891892,0.9487179487179487
173_bcf79408c938102a43ced0a5f18a54dc_davinci,bcf79408c938102a43ced0a5f18a54dc,Davinci,173,NYT-2,0.24864864864864866,0.1282051282051282
151_bbeffde989f18ac2b24708a4519045e1_text-davinci,bbeffde989f18ac2b24708a4519045e1,InstructDavinci,151,ELECT,1.0,1.0
191_9cf53ac9fa5451a616d830159b722731_ai2-jumbo,9cf53ac9fa5451a616d830159b722731,Jumbo,191,LOVE,0.23404255319148937,0.17105263157894737
191_07f320faed67b2aece0fb3bde1f87998_text-davinci,07f320faed67b2aece0fb3bde1f87998,InstructDavinci,191,LOVE,0.3776595744680851,0.25
187_4cc14c46cbd6625508879475c8faba2c_ai2-jumbo,4cc14c46cbd6625508879475c8faba2c,Jumbo,187,SIT,1.0,1.0
61_38a898008ab333281df60be41f6ce283_text-babbage,38a898008ab333281df60be41f6ce283,InstructBabbage,61,NYT-1,0.12972972972972974,0.07692307692307693
61_41c9f58c5311a41acc6fff3c3c189610_text-babbage,41c9f58c5311a41acc6fff3c3c189610,InstructBabbage,61,NYT-1,1.0,1.0
173_4e1012899a3f6dbeb511b28f69fc4de7_text-davinci,4e1012899a3f6dbeb511b28f69fc4de7,InstructDavinci,173,NYT-2,0.7081081081081081,0.6153846153846154
151_443e51bca859b06229ef09a077a03e51_davinci,443e51bca859b06229ef09a077a03e51,Davinci,151,ELECT,0.0,0.0
151_af3f7188d260a53a70617fe04b0ede2f_ai2-jumbo,af3f7188d260a53a70617fe04b0ede2f,Jumbo,151,ELECT,0.24324324324324326,0.17105263157894737
151_fb9b9a7748de8c631f767eb1bc3d0ed2_text-babbage,fb9b9a7748de8c631f767eb1bc3d0ed2,InstructBabbage,151,ELECT,0.4756756756756757,0.35526315789473684
173_2d73732a265ef52a41ffac8b90c9102f_text-davinci,2d73732a265ef52a41ffac8b90c9102f,InstructDavinci,173,NYT-2,0.7783783783783784,0.6410256410256411
61_57e0a3221f057e7324a484be0e75a67e_text-babbage,57e0a3221f057e7324a484be0e75a67e,InstructBabbage,61,NYT-1,0.14054054054054055,0.08974358974358974
151_f97f70d5ac218dc81fd3fe2056441a2d_text-davinci,f97f70d5ac218dc81fd3fe2056441a2d,InstructDavinci,151,ELECT,0.23243243243243245,0.13157894736842105
151_a99cc1fc7dad6c51b6ef46f551e87154_ai2-jumbo,a99cc1fc7dad6c51b6ef46f551e87154,Jumbo,151,ELECT,0.7297297297297297,0.5394736842105263
187_c2a31bea49dcb741878879c23a3ae6ba_ai2-jumbo,c2a31bea49dcb741878879c23a3ae6ba,Jumbo,187,SIT,0.39572192513368987,0.2564102564102564
187_43dc2879c3decdcc3010feb25653b969_ai2-jumbo,43dc2879c3decdcc3010feb25653b969,Jumbo,187,SIT,0.48663101604278075,0.34615384615384615
61_73ec1029bf71471d555c0684421a606f_text-babbage,73ec1029bf71471d555c0684421a606f,InstructBabbage,61,NYT-1,0.372972972972973,0.2564102564102564
173_2cf775109e6a8e128d74e2deb2ba5cb1_davinci,2cf775109e6a8e128d74e2deb2ba5cb1,Davinci,173,NYT-2,0.6918918918918919,0.5512820512820513
191_4cc14c46cbd6625508879475c8faba2c_text-davinci,4cc14c46cbd6625508879475c8faba2c,InstructDavinci,191,LOVE,1.0,1.0
191_77a89d6d08e0670d8aa3ca078c3f3692_text-babbage,77a89d6d08e0670d8aa3ca078c3f3692,InstructBabbage,191,LOVE,0.5319148936170213,0.3026315789473684
61_5673add8aa8dd1d805dc884c15bdf6bf_text-babbage,5673add8aa8dd1d805dc884c15bdf6bf,InstructBabbage,61,NYT-1,0.5567567567567567,0.47435897435897434
191_dc73505099bca8ee5514c3eefdca4916_text-davinci,dc73505099bca8ee5514c3eefdca4916,InstructDavinci,191,LOVE,0.26595744680851063,0.17105263157894737
151_ce38d304b1b8218f7084c2cbd7e29402_text-davinci,ce38d304b1b8218f7084c2cbd7e29402,InstructDavinci,151,ELECT,0.7513513513513513,0.631578947368421
187_4f79c3ae884ab24ae11c80ad424a8a5e_text-davinci,4f79c3ae884ab24ae11c80ad424a8a5e,InstructDavinci,187,SIT,0.5187165775401069,0.38461538461538464
61_6d1d5795042707c1f058a980ce28c569_davinci,6d1d5795042707c1f058a980ce28c569,Davinci,61,NYT-1,0.2648648648648649,0.16666666666666666
173_2afa3bf47d534b6d772ba0a66fcad2e9_text-babbage,2afa3bf47d534b6d772ba0a66fcad2e9,InstructBabbage,173,NYT-2,0.3675675675675676,0.23076923076923078
61_8e9d2087b37a3bd7ec2e61d57fef253c_davinci,8e9d2087b37a3bd7ec2e61d57fef253c,Davinci,61,NYT-1,0.16756756756756758,0.11538461538461539
151_41c9f58c5311a41acc6fff3c3c189610_ai2-jumbo,41c9f58c5311a41acc6fff3c3c189610,Jumbo,151,ELECT,1.0,1.0
151_38ea1a52e9068b7b16b159d77139ee61_text-babbage,38ea1a52e9068b7b16b159d77139ee61,InstructBabbage,151,ELECT,0.6756756756756757,0.4605263157894737
61_01f7abec1f2c69d2aa5270b8e4f151ca_text-babbage,01f7abec1f2c69d2aa5270b8e4f151ca,InstructBabbage,61,NYT-1,0.9945945945945946,0.9743589743589743
61_f8e4ca7ab085ed58b3ab68576ae8e1da_ai2-jumbo,f8e4ca7ab085ed58b3ab68576ae8e1da,Jumbo,61,NYT-1,0.8432432432432433,0.7435897435897436
61_97015de7c03d7318af400145a2e053ae_text-davinci,97015de7c03d7318af400145a2e053ae,InstructDavinci,61,NYT-1,0.7243243243243244,0.5641025641025641
187_11c58d49972d7e0363017954352a5398_davinci,11c58d49972d7e0363017954352a5398,Davinci,187,SIT,0.6149732620320856,0.46153846153846156
173_b277461535122dea2c23e5a3b3c87fc0_text-babbage,b277461535122dea2c23e5a3b3c87fc0,InstructBabbage,173,NYT-2,0.16756756756756758,0.11538461538461539
151_07f320faed67b2aece0fb3bde1f87998_text-babbage,07f320faed67b2aece0fb3bde1f87998,InstructBabbage,151,ELECT,0.4864864864864865,0.34210526315789475
191_9f2411c21cd11979bc6fd3df674a6db4_text-davinci,9f2411c21cd11979bc6fd3df674a6db4,InstructDavinci,191,LOVE,0.9840425531914894,0.9342105263157895
191_97015de7c03d7318af400145a2e053ae_text-davinci,97015de7c03d7318af400145a2e053ae,InstructDavinci,191,LOVE,0.24468085106382978,0.14473684210526316
61_4455389e51c490d7126cd4c048a03c66_ai2-jumbo,4455389e51c490d7126cd4c048a03c66,Jumbo,61,NYT-1,0.372972972972973,0.2564102564102564
151_f164321ce3a627565978ad06d0652788_text-davinci,f164321ce3a627565978ad06d0652788,InstructDavinci,151,ELECT,1.0,1.0
151_f4046292f4f79e6d06ae7386fe779c32_davinci,f4046292f4f79e6d06ae7386fe779c32,Davinci,151,ELECT,0.8864864864864865,0.8552631578947368
191_4e1012899a3f6dbeb511b28f69fc4de7_davinci,4e1012899a3f6dbeb511b28f69fc4de7,Davinci,191,LOVE,0.46808510638297873,0.2894736842105263
187_9901324279408d73e5bded38625c18e8_ai2-jumbo,9901324279408d73e5bded38625c18e8,Jumbo,187,SIT,0.3155080213903743,0.21794871794871795
173_c8a7ca378fb64e28678a296fab919f3b_ai2-jumbo,c8a7ca378fb64e28678a296fab919f3b,Jumbo,173,NYT-2,0.3837837837837838,0.2948717948717949
187_80d7b42853e9d8ff4f8f44da51510e4b_ai2-jumbo,80d7b42853e9d8ff4f8f44da51510e4b,Jumbo,187,SIT,0.47058823529411764,0.3076923076923077
61_9cf53ac9fa5451a616d830159b722731_ai2-jumbo,9cf53ac9fa5451a616d830159b722731,Jumbo,61,NYT-1,0.44324324324324327,0.21794871794871795
191_ade83d319adf6296b57cfe1d004e1cf7_text-davinci,ade83d319adf6296b57cfe1d004e1cf7,InstructDavinci,191,LOVE,0.4734042553191489,0.2631578947368421
191_2189c25eb08d77cbd030f0e52dce9bca_text-babbage,2189c25eb08d77cbd030f0e52dce9bca,InstructBabbage,191,LOVE,0.5691489361702128,0.4605263157894737
191_5bc2669ad80a02909bc9eb9ba531b5ae_text-davinci,5bc2669ad80a02909bc9eb9ba531b5ae,InstructDavinci,191,LOVE,0.5372340425531915,0.34210526315789475
61_07f320faed67b2aece0fb3bde1f87998_ai2-jumbo,07f320faed67b2aece0fb3bde1f87998,Jumbo,61,NYT-1,0.3675675675675676,0.24358974358974358
151_47e281be2e734e70418e3f34ec8f7d8f_davinci,47e281be2e734e70418e3f34ec8f7d8f,Davinci,151,ELECT,1.0,1.0
173_a354060748901d785c4720e156553e31_davinci,a354060748901d785c4720e156553e31,Davinci,173,NYT-2,0.23243243243243245,0.14102564102564102
151_77a89d6d08e0670d8aa3ca078c3f3692_text-davinci,77a89d6d08e0670d8aa3ca078c3f3692,InstructDavinci,151,ELECT,0.7027027027027027,0.4868421052631579
191_3a1d3fbb71f65821c90a1e865636abbd_text-babbage,3a1d3fbb71f65821c90a1e865636abbd,InstructBabbage,191,LOVE,0.3617021276595745,0.19736842105263158
173_455895f1be494f6b60d9541c04280c2a_ai2-jumbo,455895f1be494f6b60d9541c04280c2a,Jumbo,173,NYT-2,0.22702702702702704,0.10256410256410256
173_99951d28bd9234c36f17a5aaaebd69c2_davinci,99951d28bd9234c36f17a5aaaebd69c2,Davinci,173,NYT-2,0.2810810810810811,0.16666666666666666
187_11b8946a60dd71196cd76f5f49851574_text-davinci,11b8946a60dd71196cd76f5f49851574,InstructDavinci,187,SIT,0.45989304812834225,0.358974358974359
173_d26076ae9160f6c461f1b84d75ff5c32_ai2-jumbo,d26076ae9160f6c461f1b84d75ff5c32,Jumbo,173,NYT-2,0.2702702702702703,0.19230769230769232
187_a99cc1fc7dad6c51b6ef46f551e87154_davinci,a99cc1fc7dad6c51b6ef46f551e87154,Davinci,187,SIT,0.6844919786096256,0.5
61_c6d5a13aeb1f43ff4724a28a95505338_ai2-jumbo,c6d5a13aeb1f43ff4724a28a95505338,Jumbo,61,NYT-1,0.2918918918918919,0.15384615384615385
61_a1e2e44d9dab5c113b33caabeb9bd7e7_ai2-jumbo,a1e2e44d9dab5c113b33caabeb9bd7e7,Jumbo,61,NYT-1,0.34054054054054056,0.1794871794871795
191_11c58d49972d7e0363017954352a5398_ai2-jumbo,11c58d49972d7e0363017954352a5398,Jumbo,191,LOVE,0.5797872340425532,0.39473684210526316
61_7d5db56fea7ec3a3d8788b2fbd0e7c15_text-babbage,7d5db56fea7ec3a3d8788b2fbd0e7c15,InstructBabbage,61,NYT-1,0.4486486486486487,0.3717948717948718
191_2cf775109e6a8e128d74e2deb2ba5cb1_text-davinci,2cf775109e6a8e128d74e2deb2ba5cb1,InstructDavinci,191,LOVE,0.9095744680851063,0.8157894736842105
187_2d73732a265ef52a41ffac8b90c9102f_text-babbage,2d73732a265ef52a41ffac8b90c9102f,InstructBabbage,187,SIT,0.4919786096256685,0.3333333333333333
61_af3f7188d260a53a70617fe04b0ede2f_text-babbage,af3f7188d260a53a70617fe04b0ede2f,InstructBabbage,61,NYT-1,0.21081081081081082,0.10256410256410256
151_97d2cbfd1df5842a08eb67fbd8a81979_ai2-jumbo,97d2cbfd1df5842a08eb67fbd8a81979,Jumbo,151,ELECT,1.0,1.0
191_7c8c79ab948dfab615629dd6fbf52ea0_ai2-jumbo,7c8c79ab948dfab615629dd6fbf52ea0,Jumbo,191,LOVE,0.31382978723404253,0.17105263157894737
61_96b19ae60136ad20bd29e974a88e29ab_ai2-jumbo,96b19ae60136ad20bd29e974a88e29ab,Jumbo,61,NYT-1,0.8216216216216217,0.7307692307692307
187_bbeffde989f18ac2b24708a4519045e1_text-davinci,bbeffde989f18ac2b24708a4519045e1,InstructDavinci,187,SIT,1.0,1.0
61_38ea1a52e9068b7b16b159d77139ee61_text-babbage,38ea1a52e9068b7b16b159d77139ee61,InstructBabbage,61,NYT-1,0.2864864864864865,0.16666666666666666
191_9cab0b70602ada54d34062999dfc98d7_text-davinci,9cab0b70602ada54d34062999dfc98d7,InstructDavinci,191,LOVE,0.43617021276595747,0.32894736842105265
191_d40ca11d7e77b9c94dfb423a2ba1a560_text-babbage,d40ca11d7e77b9c94dfb423a2ba1a560,InstructBabbage,191,LOVE,0.2712765957446808,0.15789473684210525
61_a99cc1fc7dad6c51b6ef46f551e87154_ai2-jumbo,a99cc1fc7dad6c51b6ef46f551e87154,Jumbo,61,NYT-1,0.6756756756756757,0.44871794871794873
173_34a6c2bc151b3162c8158f48bda8c603_davinci,34a6c2bc151b3162c8158f48bda8c603,Davinci,173,NYT-2,0.772972972972973,0.6410256410256411
187_abff62510c6e6b987a6677f9438d61cc_davinci,abff62510c6e6b987a6677f9438d61cc,Davinci,187,SIT,0.7165775401069518,0.6666666666666666
61_bad44ae4b2f6267a9f757a11f17546b9_text-davinci,bad44ae4b2f6267a9f757a11f17546b9,InstructDavinci,61,NYT-1,0.4,0.2948717948717949
151_bcf79408c938102a43ced0a5f18a54dc_text-babbage,bcf79408c938102a43ced0a5f18a54dc,InstructBabbage,151,ELECT,0.4,0.27631578947368424
61_cc105e81c42472616e2fc40b78bd0926_text-babbage,cc105e81c42472616e2fc40b78bd0926,InstructBabbage,61,NYT-1,0.35135135135135137,0.24358974358974358
187_adc21a46888fbaf24d5bf3de988c09ed_ai2-jumbo,adc21a46888fbaf24d5bf3de988c09ed,Jumbo,187,SIT,0.3315508021390374,0.20512820512820512
151_a1e2e44d9dab5c113b33caabeb9bd7e7_text-babbage,a1e2e44d9dab5c113b33caabeb9bd7e7,InstructBabbage,151,ELECT,0.6702702702702703,0.5263157894736842
61_b6f4540fdd9d7441da616e6759e4aeac_davinci,b6f4540fdd9d7441da616e6759e4aeac,Davinci,61,NYT-1,0.7945945945945946,0.717948717948718
187_3cf003c26b6ccd9057b8fbf31ddc05bc_ai2-jumbo,3cf003c26b6ccd9057b8fbf31ddc05bc,Jumbo,187,SIT,0.45454545454545453,0.358974358974359
173_0fab256a3ddd64f5b981134bd100adf3_text-davinci,0fab256a3ddd64f5b981134bd100adf3,InstructDavinci,173,NYT-2,0.6270270270270271,0.4230769230769231
61_7f193a9ca697cbf545e943c27f2c0439_davinci,7f193a9ca697cbf545e943c27f2c0439,Davinci,61,NYT-1,1.0,1.0
187_57e0a3221f057e7324a484be0e75a67e_davinci,57e0a3221f057e7324a484be0e75a67e,Davinci,187,SIT,0.27807486631016043,0.15384615384615385
187_69b5bd578e167ff21e624417b3a5c44e_text-davinci,69b5bd578e167ff21e624417b3a5c44e,InstructDavinci,187,SIT,1.0,1.0
191_7022a7dc52f8f23d958b277ad98256cb_davinci,7022a7dc52f8f23d958b277ad98256cb,Davinci,191,LOVE,0.6861702127659575,0.5
173_b16d184a9ec2a92d1dd5962a0221c92e_text-davinci,b16d184a9ec2a92d1dd5962a0221c92e,InstructDavinci,173,NYT-2,0.34594594594594597,0.2948717948717949
173_1c128a12a14f92a5839e9b884dbc1fd3_text-davinci,1c128a12a14f92a5839e9b884dbc1fd3,InstructDavinci,173,NYT-2,0.6594594594594595,0.5512820512820513
151_f2e0275de8e06b2d39c70fcd943f9a6a_ai2-jumbo,f2e0275de8e06b2d39c70fcd943f9a6a,Jumbo,151,ELECT,0.3891891891891892,0.27631578947368424
61_fd7c7411fbc585c3786f911e07cdf3d6_text-davinci,fd7c7411fbc585c3786f911e07cdf3d6,InstructDavinci,61,NYT-1,0.24864864864864866,0.15384615384615385
151_d77d60e197e1bd06f21d78aef779b54c_davinci,d77d60e197e1bd06f21d78aef779b54c,Davinci,151,ELECT,0.7783783783783784,0.6710526315789473
61_75146267f971a6dd8c343e2a70c3f526_ai2-jumbo,75146267f971a6dd8c343e2a70c3f526,Jumbo,61,NYT-1,0.3837837837837838,0.2692307692307692
173_cc105e81c42472616e2fc40b78bd0926_ai2-jumbo,cc105e81c42472616e2fc40b78bd0926,Jumbo,173,NYT-2,0.4648648648648649,0.38461538461538464
191_5c7cee0b29134f53518d8d3076f313af_davinci,5c7cee0b29134f53518d8d3076f313af,Davinci,191,LOVE,0.2393617021276596,0.13157894736842105
187_36b8962420cc2f36e9c2494f0518269f_davinci,36b8962420cc2f36e9c2494f0518269f,Davinci,187,SIT,0.7647058823529411,0.5769230769230769
151_195990c4938f23724f483db8acadf15a_ai2-jumbo,195990c4938f23724f483db8acadf15a,Jumbo,151,ELECT,0.6378378378378379,0.5131578947368421
187_2cf775109e6a8e128d74e2deb2ba5cb1_text-davinci,2cf775109e6a8e128d74e2deb2ba5cb1,InstructDavinci,187,SIT,0.9037433155080213,0.7564102564102564
191_5f016d0d9d7fedb61139db7b2be77edb_text-babbage,5f016d0d9d7fedb61139db7b2be77edb,InstructBabbage,191,LOVE,0.9946808510638298,0.9736842105263158
61_69b5bd578e167ff21e624417b3a5c44e_ai2-jumbo,69b5bd578e167ff21e624417b3a5c44e,Jumbo,61,NYT-1,1.0,1.0
187_29e7d9c87c985fa3454edf727ef29ccd_ai2-jumbo,29e7d9c87c985fa3454edf727ef29ccd,Jumbo,187,SIT,0.6149732620320856,0.5256410256410257
173_37186b9126632a869f52bfd51939be64_text-davinci,37186b9126632a869f52bfd51939be64,InstructDavinci,173,NYT-2,0.43783783783783786,0.28205128205128205
173_96b19ae60136ad20bd29e974a88e29ab_ai2-jumbo,96b19ae60136ad20bd29e974a88e29ab,Jumbo,173,NYT-2,0.5783783783783784,0.47435897435897434
187_99c9e14eafb83516ba94fa0efa32555d_ai2-jumbo,99c9e14eafb83516ba94fa0efa32555d,Jumbo,187,SIT,0.2620320855614973,0.11538461538461539
151_d5953bd8ede2b52b33fc9552ce66c495_davinci,d5953bd8ede2b52b33fc9552ce66c495,Davinci,151,ELECT,0.9621621621621622,0.8947368421052632
151_a9375b391c9034dd1cfbe0dae26e4a3c_davinci,a9375b391c9034dd1cfbe0dae26e4a3c,Davinci,151,ELECT,0.2,0.15789473684210525
191_1e6a88420b942084b82e6758f73315f8_ai2-jumbo,1e6a88420b942084b82e6758f73315f8,Jumbo,191,LOVE,0.9946808510638298,0.9736842105263158
151_03de12b6d418576c8872df1edb95eb3e_text-davinci,03de12b6d418576c8872df1edb95eb3e,InstructDavinci,151,ELECT,0.43243243243243246,0.2236842105263158
151_a4cfee82480f25380b95822a8a765bdd_ai2-jumbo,a4cfee82480f25380b95822a8a765bdd,Jumbo,151,ELECT,0.9945945945945946,0.9736842105263158
151_8d48c2ee0596126c8f36408fb15b7a8a_ai2-jumbo,8d48c2ee0596126c8f36408fb15b7a8a,Jumbo,151,ELECT,0.6648648648648648,0.5131578947368421
187_8347ff3d9c615745e085a59d369da3d5_text-babbage,8347ff3d9c615745e085a59d369da3d5,InstructBabbage,187,SIT,0.32620320855614976,0.20512820512820512
173_b544f1b08cda68d4a328958398b4173b_text-davinci,b544f1b08cda68d4a328958398b4173b,InstructDavinci,173,NYT-2,0.7513513513513513,0.5641025641025641
151_7ad3b8e52f3bcd6fe73b60dffa8de96d_davinci,7ad3b8e52f3bcd6fe73b60dffa8de96d,Davinci,151,ELECT,0.6054054054054054,0.4868421052631579
61_7c1e76b57f443e723819da325569d4ae_text-davinci,7c1e76b57f443e723819da325569d4ae,InstructDavinci,61,NYT-1,0.5297297297297298,0.38461538461538464
187_e40ecc412c5d5e4e147d9c625ac2403a_text-babbage,e40ecc412c5d5e4e147d9c625ac2403a,InstructBabbage,187,SIT,0.33689839572192515,0.24358974358974358
191_decc04622d39342de7acc27065ca7a21_text-babbage,decc04622d39342de7acc27065ca7a21,InstructBabbage,191,LOVE,0.48936170212765956,0.32894736842105265
187_89a78d3c80359f21033b807b61a9abcf_text-davinci,89a78d3c80359f21033b807b61a9abcf,InstructDavinci,187,SIT,0.47593582887700536,0.38461538461538464
173_bb5772277459584f156554fb0a1befe6_text-babbage,bb5772277459584f156554fb0a1befe6,InstructBabbage,173,NYT-2,0.5837837837837838,0.5
173_4f79c3ae884ab24ae11c80ad424a8a5e_text-davinci,4f79c3ae884ab24ae11c80ad424a8a5e,InstructDavinci,173,NYT-2,0.32432432432432434,0.20512820512820512
151_4e1012899a3f6dbeb511b28f69fc4de7_davinci,4e1012899a3f6dbeb511b28f69fc4de7,Davinci,151,ELECT,0.9675675675675676,0.881578947368421
173_bb15b073472e6012eeb6b2bd840b6777_davinci,bb15b073472e6012eeb6b2bd840b6777,Davinci,173,NYT-2,0.8486486486486486,0.6666666666666666
61_6b5518acd4dc8c79c224b0dea125dfa1_davinci,6b5518acd4dc8c79c224b0dea125dfa1,Davinci,61,NYT-1,0.6216216216216216,0.48717948717948717
151_5ba35526f0ac49616dcad6d15a0e794d_davinci,5ba35526f0ac49616dcad6d15a0e794d,Davinci,151,ELECT,0.33513513513513515,0.23684210526315788
173_b6bf78dcefe95729c1dcad05201a1aef_davinci,b6bf78dcefe95729c1dcad05201a1aef,Davinci,173,NYT-2,0.12432432432432433,0.0641025641025641
61_5491b18afebc855a23b30ebe312f81e8_ai2-jumbo,5491b18afebc855a23b30ebe312f81e8,Jumbo,61,NYT-1,1.0,1.0
173_4cc14c46cbd6625508879475c8faba2c_davinci,4cc14c46cbd6625508879475c8faba2c,Davinci,173,NYT-2,1.0,1.0
191_ddb694ab7e8cbbcdc1f8c144d35a4bb0_davinci,ddb694ab7e8cbbcdc1f8c144d35a4bb0,Davinci,191,LOVE,0.6968085106382979,0.5526315789473685
151_ddb694ab7e8cbbcdc1f8c144d35a4bb0_davinci,ddb694ab7e8cbbcdc1f8c144d35a4bb0,Davinci,151,ELECT,0.6486486486486487,0.4473684210526316
151_34a6c2bc151b3162c8158f48bda8c603_text-davinci,34a6c2bc151b3162c8158f48bda8c603,InstructDavinci,151,ELECT,1.0,1.0
191_a2f858b733b23c163c646610845760b9_ai2-jumbo,a2f858b733b23c163c646610845760b9,Jumbo,191,LOVE,0.09042553191489362,0.06578947368421052
61_d576ce36b6337d2121e0ede40947c670_text-babbage,d576ce36b6337d2121e0ede40947c670,InstructBabbage,61,NYT-1,0.6,0.47435897435897434
187_f9c1bac3276cc5f52cce7e148193256f_davinci,f9c1bac3276cc5f52cce7e148193256f,Davinci,187,SIT,0.25133689839572193,0.19230769230769232
191_97d2cbfd1df5842a08eb67fbd8a81979_text-davinci,97d2cbfd1df5842a08eb67fbd8a81979,InstructDavinci,191,LOVE,0.48936170212765956,0.3157894736842105
187_5f016d0d9d7fedb61139db7b2be77edb_text-davinci,5f016d0d9d7fedb61139db7b2be77edb,InstructDavinci,187,SIT,1.0,1.0
191_2c3c84df1b7610fa6d5c5089107f6112_text-davinci,2c3c84df1b7610fa6d5c5089107f6112,InstructDavinci,191,LOVE,1.0,1.0
151_2b6ff87b6bc0a2dd0ea067ac6b2b2c72_text-davinci,2b6ff87b6bc0a2dd0ea067ac6b2b2c72,InstructDavinci,151,ELECT,0.6432432432432432,0.4605263157894737
187_dc73505099bca8ee5514c3eefdca4916_ai2-jumbo,dc73505099bca8ee5514c3eefdca4916,Jumbo,187,SIT,0.21390374331550802,0.10256410256410256
173_0e5b83906fd553f992ee60ac3af5123b_text-babbage,0e5b83906fd553f992ee60ac3af5123b,InstructBabbage,173,NYT-2,0.3945945945945946,0.2564102564102564
151_b544f1b08cda68d4a328958398b4173b_text-davinci,b544f1b08cda68d4a328958398b4173b,InstructDavinci,151,ELECT,0.8108108108108109,0.6710526315789473
61_28b662ded694876967260ccb5db75895_text-davinci,28b662ded694876967260ccb5db75895,InstructDavinci,61,NYT-1,0.3891891891891892,0.24358974358974358
61_1efa54b20f866563f4dcffe6c6e15616_text-davinci,1efa54b20f866563f4dcffe6c6e15616,InstructDavinci,61,NYT-1,0.6324324324324324,0.47435897435897434
187_8e9a8ec519e4478aa06f0c07d59dc6fe_text-davinci,8e9a8ec519e4478aa06f0c07d59dc6fe,InstructDavinci,187,SIT,0.6256684491978609,0.5
173_3bb88fa74ae81dede071856089a66b8b_ai2-jumbo,3bb88fa74ae81dede071856089a66b8b,Jumbo,173,NYT-2,0.5297297297297298,0.34615384615384615
151_57c10c96802f13f8acb3ed38f9f5c02c_ai2-jumbo,57c10c96802f13f8acb3ed38f9f5c02c,Jumbo,151,ELECT,0.6810810810810811,0.5526315789473685
